AccountNumber,SnapshotDate,MOB,DisbursedDate,TimeSince30,TimeSince60,Ever30In6Months,Ever30In12Months,Ever30,Ever60In6Months,Ever60In12Months,Ever60,P_calibrated,WorstDelinquency6M,WorstDelinquency12M,WorstDelinquency,Score,Ever90_12M
7733249,2022-07-31,4,2022-03-22,0.0,0.0,0,0,0,0,0,0,0.0616021845195644,1,1,1,,0
7241730,2022-01-31,10,2021-03-12,0.0,0.0,0,0,0,0,0,0,0.0597818299862966,1,1,1,,0
7274509,2021-11-30,5,2021-06-28,0.0,0.0,0,0,0,0,0,0,0.1699067523110662,1,1,1,4.595842792451997,0
7700495,2022-06-30,6,2021-12-16,0.0,0.0,0,0,0,0,0,0,0.0602699575598646,1,1,1,4.595842792451997,0
7733264,2022-10-31,7,2022-03-22,0.0,0.0,0,0,0,0,0,0,0.0520363266265515,0,0,0,3.654434525430721,0
5079058,2021-09-30,44,2018-01-29,662.0,0.0,0,0,1,0,0,0,0.0907396508217708,0,1,2,1.877307666638626,0
7700503,2022-03-31,3,2021-12-15,0.0,0.0,0,0,0,0,0,0,0.0781353248470359,0,0,0,3.654434525430721,1
7733272,2022-10-31,6,2022-04-11,67.0,91.0,1,1,1,1,1,1,0.1496585771696978,3,3,3,39.215327073913855,0
7766041,2022-10-31,4,2022-06-30,0.0,0.0,0,0,0,0,0,0,0.042459937788085,0,0,0,3.654434525430721,0
5799960,2020-09-30,17,2019-04-17,0.0,0.0,0,0,0,0,0,0,0.0481014314536817,1,1,1,1.877307666638626,0
5505052,2021-07-31,31,2018-12-13,0.0,0.0,0,0,0,0,0,0,0.0524660698021528,0,0,1,,0
7274525,2022-05-31,11,2021-06-29,0.0,0.0,0,0,0,0,0,0,0.2355897748422533,1,1,1,4.595842792451997,1
5767199,2020-07-31,15,2019-04-17,0.0,0.0,0,0,0,0,0,0,0.0651597169989697,1,1,1,4.595842792451997,0
7733280,2022-09-30,6,2022-03-24,0.0,0.0,0,0,0,0,0,0,0.0617138907171177,1,1,1,27.662599281971843,0
7143456,2021-08-31,17,2020-03-09,0.0,0.0,0,0,0,0,0,0,0.0498762975736548,0,1,1,1.877307666638626,0
5341219,2020-05-31,20,2018-09-11,0.0,0.0,0,0,0,0,0,0,0.0772172816963811,0,1,1,,0
7143472,2020-08-31,5,2020-03-06,0.0,0.0,0,0,0,0,0,0,0.0494915183442754,0,0,0,1.484099164499508,0
7143480,2021-12-31,21,2020-03-05,0.0,0.0,0,0,0,0,0,0,0.0339879398656,0,0,0,,0
7405624,2021-01-31,17,2019-08-15,0.0,0.0,1,1,1,0,0,0,0.1373895051226179,2,2,2,41.7,1
5799994,2020-04-30,12,2019-04-16,0.0,0.0,0,0,0,0,0,0,0.0853463654970522,1,1,1,4.595842792451997,0
7274558,2020-10-31,15,2019-07-09,0.0,0.0,0,0,0,0,0,0,0.0387625966084201,1,1,1,4.595842792451997,0
5308481,2021-11-30,41,2018-06-27,0.0,0.0,0,0,0,0,0,0,0.0475135314683338,0,0,1,,0
7700545,2022-08-31,8,2021-12-16,0.0,0.0,0,0,0,0,0,0,0.1852606636765476,0,0,0,3.654434525430721,0
7176258,2022-06-30,23,2020-07-22,0.0,0.0,0,0,0,0,0,0,0.0291143256167027,0,0,1,,0
7176266,2022-02-28,19,2020-07-06,125.0,0.0,1,1,1,0,0,0,0.0766884532374951,2,2,2,39.215327073913855,0
7766090,2022-10-31,4,2022-06-20,0.0,0.0,0,0,0,0,0,0,0.0408785890815413,0,0,0,3.654434525430721,0
7274574,2022-04-30,10,2021-06-28,0.0,0.0,0,0,0,0,0,0,0.1847298117280671,1,1,1,4.595842792451997,0
5242961,2022-07-31,51,2018-04-10,1344.0,0.0,0,0,1,0,0,0,0.1053954626963101,0,0,2,,0
5898325,2019-09-30,4,2019-05-10,0.0,0.0,0,0,0,0,0,0,0.1349833171838251,1,1,1,4.595842792451997,0
7143514,2021-07-31,16,2020-03-05,0.0,0.0,0,0,0,0,0,0,0.0361835023627027,0,1,1,4.595842792451997,0
7766108,2022-10-31,4,2022-06-21,7.0,0.0,1,1,1,1,1,1,0.0500881257103016,3,3,3,92.65,1
5668959,2021-05-31,26,2019-03-08,0.0,0.0,0,0,0,0,0,0,0.0463891013960851,0,1,1,1.877307666638626,0
7176290,2021-02-28,7,2020-07-01,0.0,0.0,0,0,0,0,0,0,0.1524719414411389,1,1,1,4.595842792451997,0
